baseline,comparison,cr_ci95,delta_accuracy,delta_cr,delta_post_accuracy,delta_pr,delta_scr,delta_sr,destructions,mcnemar_exact_two_sided_p,mcnemar_note,paired_examples,post_accuracy_ci95,pr_ci95,primary,rescues,scr_ci95,sr_ci95
none,text_ce,"[0.7333333333333334, 0.967741935483871]",0.018333333333333333,0.8571428571428571,0.018333333333333313,-0.5428571428571429,0.0,0.0,20,0.16077960181198847,secondary direction-level statistic; item-cluster bootstrap is primary,600,"[0.006666666666666599, 0.03166666666666662]","[-0.7105263157894737, -0.375]",true_text,31,"[0.0, 0.0]","[0.0, 0.0]"
other_text,text_esv,"[0.7692307692307693, 0.9743589743589743]",0.02666666666666667,0.8857142857142857,0.026666666666666616,-0.5142857142857142,0.007537688442211032,0.0,21,0.04794032407166697,secondary direction-level statistic; item-cluster bootstrap is primary,600,"[0.010000000000000009, 0.04499999999999993]","[-0.7083333333333333, -0.30555555555555547]",true_text,37,"[0.0, 0.01741293532338306]","[-0.022058823529411766, 0.022388059701492536]"
self_text,text_oav,"[0.8095238095238095, 1.0]",0.021666666666666667,0.9142857142857143,0.021666666666666612,-0.5428571428571429,0.0,0.0,20,0.09837064844049181,secondary direction-level statistic; item-cluster bootstrap is primary,600,"[0.008333333333333415, 0.03500000000000003]","[-0.7105263157894737, -0.375]",true_text,33,"[0.0, 0.0]","[0.0, 0.0]"
none,statebridge_ce,"[0.625, 0.9024390243902439]",-0.008333333333333333,0.7714285714285715,-0.008333333333333304,-0.9142857142857143,0.0,0.0,33,0.6089207154048287,secondary direction-level statistic; item-cluster bootstrap is primary,600,"[-0.01666666666666672, 0.0]","[-1.0, -0.8108108108108107]",true_statebridge,28,"[0.0, 0.0]","[0.0, 0.0]"
other_statebridge,statebridge_esv,"[0.6944444444444444, 0.9444444444444444]",-0.006666666666666667,0.8285714285714286,-0.00666666666666671,-0.9142857142857143,0.002512562814070307,-0.015151515151515152,35,0.7122308826373508,secondary direction-level statistic; item-cluster bootstrap is primary,600,"[-0.018333333333333424, 0.0050000000000000044]","[-1.0, -0.8064516129032258]",true_statebridge,31,"[0.0, 0.007894736842105288]","[-0.046511627906976744, 0.014705882352941176]"
self_statebridge,statebridge_oav,"[0.6571428571428571, 0.9249999999999999]",-0.008333333333333333,0.8,-0.008333333333333304,-0.9428571428571428,0.0,0.0,34,0.6146550157654618,secondary direction-level statistic; item-cluster bootstrap is primary,600,"[-0.01666666666666672, 0.0]","[-1.0, -0.8529411764705882]",true_statebridge,29,"[0.0, 0.0]","[0.0, 0.0]"
