condition,max,mean,metric,min,seed_pairs,std_sample
none,0.725,0.715,accuracy,0.7033333333333334,3,0.010929064207169974
none,0.05714285714285714,0.02946428571428571,cr,0.0,3,0.028613250641003687
none,1.0,0.9696428571428571,pr,0.9375,3,0.0312882419070272
none,0.021739130434782608,0.014337839382508828,sr,0.007575757575757576,3,0.007103289662586824
none,1.0,0.9982992754566359,scr,0.9974358974358974,3,0.001472928168317897
none,0.5142857142857142,0.49955357142857143,si,0.484375,3,0.014960353642960725
none,0.5142857142857142,0.49955357142857143,sra,0.484375,3,0.014960353642960725
none,0.05714285714285714,0.029800307219662054,fcs,0.0,3,0.02865060136905502
none,0.06451612903225806,0.031029185867895544,fws,0.0,3,0.03232820988738776
none,0.02857142857142857,-0.001228878648233487,follow_selectivity,-0.03225806451612903,3,0.030433360221496536
true_text,0.7433333333333333,0.7272222222222222,accuracy,0.7133333333333334,3,0.015122952876462403
true_text,0.9142857142857143,0.8703256302521009,cr,0.84375,3,0.038346918682081094
true_text,0.42857142857142855,0.37508753501400566,pr,0.34375,3,0.04654583315157958
true_text,0.007575757575757576,0.0025252525252525255,sr,0.0,3,0.0043738656756789835
true_text,1.0,1.0,scr,1.0,3,0.0
true_text,0.6714285714285714,0.6227065826330532,si,0.59375,3,0.04244400517589408
true_text,0.6714285714285714,0.6227065826330532,sra,0.59375,3,0.04244400517589408
true_text,0.9142857142857143,0.8686455227252191,fcs,0.8387096774193549,3,0.040160978643085044
true_text,0.6774193548387096,0.6319689165988976,fws,0.5714285714285714,3,0.05458287744661684
true_text,0.34285714285714286,0.2366766061263215,follow_selectivity,0.16129032258064524,3,0.09461945930014931
self_text,0.7216666666666667,0.7138888888888889,accuracy,0.705,3,0.008388704928078635
self_text,0.03125,0.010416666666666666,cr,0.0,3,0.018042195912175808
self_text,1.0,0.9904761904761905,pr,0.9714285714285714,3,0.016495721976846456
self_text,0.007575757575757576,0.004940711462450593,sr,0.0,3,0.004281949934123848
self_text,1.0,1.0,scr,1.0,3,0.0
self_text,0.515625,0.5004464285714286,si,0.4857142857142857,3,0.014960353642960753
self_text,0.515625,0.5004464285714286,sra,0.4857142857142857,3,0.014960353642960753
self_text,0.0,0.0,fcs,0.0,3,0.0
self_text,0.02857142857142857,0.009523809523809523,fws,0.0,3,0.016495721976846452
self_text,0.0,-0.009523809523809523,follow_selectivity,-0.02857142857142857,3,0.016495721976846452
other_text,0.7166666666666667,0.7055555555555556,accuracy,0.6966666666666667,3,0.010183501544346317
other_text,0.029411764705882353,0.019327731092436976,cr,0.0,3,0.016743578861488466
other_text,1.0,0.980952380952381,pr,0.9428571428571428,3,0.03299144395369291
other_text,0.0136986301369863,0.007091462570914625,sr,0.0,3,0.006862144209084665
other_text,0.992462311557789,0.9864370662370816,scr,0.9822335025380711,3,0.0053521982809483755
other_text,0.5147058823529411,0.500140056022409,si,0.4857142857142857,3,0.01449630575980252
other_text,0.5147058823529411,0.500140056022409,sra,0.4857142857142857,3,0.01449630575980252
other_text,0.029411764705882353,0.019327731092436976,fcs,0.0,3,0.016743578861488466
other_text,0.0,0.0,fws,0.0,3,0.0
other_text,0.029411764705882353,0.019327731092436976,follow_selectivity,0.0,3,0.016743578861488466
true_statebridge,0.7166666666666667,0.7105555555555556,accuracy,0.7033333333333334,3,0.00673575314054562
true_statebridge,0.9375,0.8533963585434173,cr,0.7941176470588235,3,0.07484539160711658
true_statebridge,0.21875,0.12137605042016808,pr,0.05714285714285714,3,0.08574934082451922
true_statebridge,0.007575757575757576,0.0025252525252525255,sr,0.0,3,0.0043738656756789835
true_statebridge,1.0,0.9983079526226734,scr,0.9949238578680203,3,0.0029307120263432867
true_statebridge,0.578125,0.4873862044817927,si,0.4411764705882353,3,0.07858659506487187
true_statebridge,0.578125,0.4873862044817927,sra,0.4411764705882353,3,0.07858659506487188
true_statebridge,0.9354838709677419,0.8527243155326647,fcs,0.7941176470588235,3,0.07371311807940495
true_statebridge,0.9428571428571428,0.8870244872142404,fws,0.8064516129032258,3,0.07148899191702003
true_statebridge,0.12903225806451613,-0.03430017168157584,follow_selectivity,-0.11764705882352944,3,0.14146001772354982
self_statebridge,0.725,0.7144444444444445,accuracy,0.705,3,0.010046189622236185
self_statebridge,0.03125,0.01994047619047619,cr,0.0,3,0.017320814913037455
self_statebridge,1.0,1.0,pr,1.0,3,0.0
self_statebridge,0.007575757575757576,0.0025252525252525255,sr,0.0,3,0.0043738656756789835
self_statebridge,1.0,1.0,scr,1.0,3,0.0
self_statebridge,0.515625,0.5099702380952381,si,0.5,3,0.008660407456518714
self_statebridge,0.515625,0.5099702380952381,sra,0.5,3,0.008660407456518714
self_statebridge,0.02857142857142857,0.009523809523809523,fcs,0.0,3,0.016495721976846452
self_statebridge,0.0,0.0,fws,0.0,3,0.0
self_statebridge,0.02857142857142857,0.009523809523809523,follow_selectivity,0.0,3,0.016495721976846452
other_statebridge,0.7233333333333334,0.7138888888888889,accuracy,0.7,3,0.01228519132638671
other_statebridge,0.0625,0.030637254901960786,cr,0.0,3,0.03126801672101243
other_statebridge,0.9714285714285714,0.9396183473389357,pr,0.90625,3,0.032617209482301714
other_statebridge,0.036231884057971016,0.028785472353072116,sr,0.022727272727272728,3,0.006858497020537699
other_statebridge,0.9974874371859297,0.994042951099809,scr,0.9871794871794872,3,0.005943947796447952
other_statebridge,0.4857142857142857,0.48512780112044823,si,0.484375,3,0.0006849579887776458
other_statebridge,0.4857142857142857,0.48512780112044823,sra,0.484375,3,0.0006849579887776458
other_statebridge,0.03225806451612903,0.020556609740670462,fcs,0.0,3,0.017859339536363695
other_statebridge,0.0967741935483871,0.04206198608475648,fws,0.0,3,0.04961181522516652
other_statebridge,0.0,-0.02150537634408602,follow_selectivity,-0.06451612903225806,3,0.03724840446384682
