accuracy,condition,cr,fcs,follow_selectivity,fws,pr,scr,seed_pair,si,sr,sra
0.725,none,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.9714285714285714,1.0,seed_pair_00,0.5142857142857142,0.007575757575757576,0.5142857142857142
0.7433333333333333,true_text,0.9142857142857143,0.9142857142857143,0.34285714285714286,0.5714285714285714,0.42857142857142855,1.0,seed_pair_00,0.6714285714285714,0.007575757575757576,0.6714285714285714
0.7216666666666667,self_text,0.0,0.0,-0.02857142857142857,0.02857142857142857,0.9714285714285714,1.0,seed_pair_00,0.4857142857142857,0.007575757575757576,0.4857142857142857
0.7166666666666667,other_text,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.9428571428571428,0.992462311557789,seed_pair_00,0.4857142857142857,0.007575757575757576,0.4857142857142857
0.7166666666666667,true_statebridge,0.8285714285714286,0.8285714285714286,-0.11428571428571421,0.9428571428571428,0.05714285714285714,1.0,seed_pair_00,0.4428571428571429,0.007575757575757576,0.44285714285714284
0.725,self_statebridge,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,1.0,1.0,seed_pair_00,0.5142857142857142,0.007575757575757576,0.5142857142857142
0.7233333333333334,other_statebridge,0.0,0.0,0.0,0.0,0.9714285714285714,0.9974874371859297,seed_pair_00,0.4857142857142857,0.022727272727272728,0.4857142857142857
0.7033333333333334,none,0.03125,0.03225806451612903,-0.03225806451612903,0.06451612903225806,0.9375,0.9974358974358974,seed_pair_01,0.484375,0.0136986301369863,0.484375
0.7133333333333334,true_text,0.84375,0.8387096774193549,0.16129032258064524,0.6774193548387096,0.34375,1.0,seed_pair_01,0.59375,0.0,0.59375
0.705,self_text,0.03125,0.0,0.0,0.0,1.0,1.0,seed_pair_01,0.515625,0.0,0.515625
0.6966666666666667,other_text,0.0,0.0,0.0,0.0,1.0,0.9846153846153847,seed_pair_01,0.5,0.0136986301369863,0.5
0.7116666666666667,true_statebridge,0.9375,0.9354838709677419,0.12903225806451613,0.8064516129032258,0.21875,1.0,seed_pair_01,0.578125,0.0,0.578125
0.705,self_statebridge,0.03125,0.0,0.0,0.0,1.0,1.0,seed_pair_01,0.515625,0.0,0.515625
0.7,other_statebridge,0.0625,0.03225806451612903,-0.06451612903225806,0.0967741935483871,0.90625,0.9871794871794872,seed_pair_01,0.484375,0.0273972602739726,0.484375
0.7166666666666667,none,0.0,0.0,0.0,0.0,1.0,0.9974619289340102,seed_pair_02,0.5,0.021739130434782608,0.5
0.725,true_text,0.8529411764705882,0.8529411764705882,0.2058823529411764,0.6470588235294118,0.35294117647058826,1.0,seed_pair_02,0.6029411764705882,0.0,0.6029411764705882
0.715,self_text,0.0,0.0,0.0,0.0,1.0,1.0,seed_pair_02,0.5,0.007246376811594203,0.5
0.7033333333333334,other_text,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,1.0,0.9822335025380711,seed_pair_02,0.5147058823529411,0.0,0.5147058823529411
0.7033333333333334,true_statebridge,0.7941176470588235,0.7941176470588235,-0.11764705882352944,0.9117647058823529,0.08823529411764706,0.9949238578680203,seed_pair_02,0.4411764705882353,0.0,0.4411764705882353
0.7133333333333334,self_statebridge,0.0,0.0,0.0,0.0,1.0,1.0,seed_pair_02,0.5,0.0,0.5
0.7183333333333334,other_statebridge,0.029411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.9411764705882353,0.9974619289340102,seed_pair_02,0.4852941176470588,0.036231884057971016,0.4852941176470588
