accuracy,channel,cr,fcs,follow_selectivity,fws,pr,scope,scr,si,sr,sra
0.725,None,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.9714285714285714,seed_pair_00,1.0,0.5142857142857142,0.007575757575757576,0.5142857142857142
0.7433333333333333,Text,0.9142857142857143,0.9142857142857143,0.34285714285714286,0.5714285714285714,0.42857142857142855,seed_pair_00,1.0,0.6714285714285714,0.007575757575757576,0.6714285714285714
0.7166666666666667,StateBridge,0.8285714285714286,0.8285714285714286,-0.11428571428571421,0.9428571428571428,0.05714285714285714,seed_pair_00,1.0,0.4428571428571429,0.007575757575757576,0.44285714285714284
0.7033333333333334,None,0.03125,0.03225806451612903,-0.03225806451612903,0.06451612903225806,0.9375,seed_pair_01,0.9974358974358974,0.484375,0.0136986301369863,0.484375
0.7133333333333334,Text,0.84375,0.8387096774193549,0.16129032258064524,0.6774193548387096,0.34375,seed_pair_01,1.0,0.59375,0.0,0.59375
0.7116666666666667,StateBridge,0.9375,0.9354838709677419,0.12903225806451613,0.8064516129032258,0.21875,seed_pair_01,1.0,0.578125,0.0,0.578125
0.7166666666666667,None,0.0,0.0,0.0,0.0,1.0,seed_pair_02,0.9974619289340102,0.5,0.021739130434782608,0.5
0.725,Text,0.8529411764705882,0.8529411764705882,0.2058823529411764,0.6470588235294118,0.35294117647058826,seed_pair_02,1.0,0.6029411764705882,0.0,0.6029411764705882
0.7033333333333334,StateBridge,0.7941176470588235,0.7941176470588235,-0.11764705882352944,0.9117647058823529,0.08823529411764706,seed_pair_02,0.9949238578680203,0.4411764705882353,0.0,0.4411764705882353
0.715,None,0.0297029702970297,0.03,0.0,0.03,0.9702970297029703,pooled_item_cluster,0.9983079526226735,0.5,0.014423076923076924,0.5
0.7272222222222222,Text,0.8712871287128713,0.87,0.24,0.63,0.37623762376237624,pooled_item_cluster,1.0,0.6237623762376238,0.002403846153846154,0.6237623762376238
0.7105555555555556,StateBridge,0.8514851485148515,0.85,-0.040000000000000036,0.89,0.1188118811881188,pooled_item_cluster,0.9983079526226735,0.48514851485148514,0.002403846153846154,0.48514851485148514
