ci95_high,ci95_low,metric,scope,statebridge,text,text_minus_statebridge
,,accuracy,seed_pair_00,0.7166666666666667,0.7433333333333333,0.026666666666666616
,,cr,seed_pair_00,0.8285714285714286,0.9142857142857143,0.08571428571428563
,,pr,seed_pair_00,0.05714285714285714,0.42857142857142855,0.3714285714285714
,,si,seed_pair_00,0.4428571428571429,0.6714285714285714,0.22857142857142848
,,sra,seed_pair_00,0.44285714285714284,0.6714285714285714,0.22857142857142854
,,fcs,seed_pair_00,0.8285714285714286,0.9142857142857143,0.08571428571428563
,,fws,seed_pair_00,0.9428571428571428,0.5714285714285714,-0.37142857142857144
,,follow_selectivity,seed_pair_00,-0.11428571428571421,0.34285714285714286,0.4571428571428571
,,accuracy,seed_pair_01,0.7116666666666667,0.7133333333333334,0.0016666666666667052
,,cr,seed_pair_01,0.9375,0.84375,-0.09375
,,pr,seed_pair_01,0.21875,0.34375,0.125
,,si,seed_pair_01,0.578125,0.59375,0.015625
,,sra,seed_pair_01,0.578125,0.59375,0.015625
,,fcs,seed_pair_01,0.9354838709677419,0.8387096774193549,-0.09677419354838701
,,fws,seed_pair_01,0.8064516129032258,0.6774193548387096,-0.12903225806451613
,,follow_selectivity,seed_pair_01,0.12903225806451613,0.16129032258064524,0.032258064516129115
,,accuracy,seed_pair_02,0.7033333333333334,0.725,0.021666666666666612
,,cr,seed_pair_02,0.7941176470588235,0.8529411764705882,0.05882352941176472
,,pr,seed_pair_02,0.08823529411764706,0.35294117647058826,0.2647058823529412
,,si,seed_pair_02,0.4411764705882353,0.6029411764705882,0.16176470588235292
,,sra,seed_pair_02,0.4411764705882353,0.6029411764705882,0.16176470588235292
,,fcs,seed_pair_02,0.7941176470588235,0.8529411764705882,0.05882352941176472
,,fws,seed_pair_02,0.9117647058823529,0.6470588235294118,-0.2647058823529411
,,follow_selectivity,seed_pair_02,-0.11764705882352944,0.2058823529411764,0.32352941176470584
0.025013888888888707,0.008333333333333304,accuracy,pooled_item_cluster,0.7105555555555556,0.7272222222222222,0.016666666666666607
0.11458333333333337,-0.07627118644067798,cr,pooled_item_cluster,0.8514851485148515,0.8712871287128713,0.01980198019801982
0.3563218390804598,0.16037735849056603,pr,pooled_item_cluster,0.1188118811881188,0.37623762376237624,0.25742574257425743
0.20982589285714282,0.06842105263157905,si,pooled_item_cluster,0.48514851485148514,0.6237623762376238,0.13861386138613863
0.20982589285714282,0.06842105263157894,sra,pooled_item_cluster,0.48514851485148514,0.6237623762376238,0.13861386138613863
0.11570465419747719,-0.07692307692307698,fcs,pooled_item_cluster,0.85,0.87,0.020000000000000018
-0.16160801564027374,-0.3611194779116466,fws,pooled_item_cluster,0.89,0.63,-0.26
0.4242424242424242,0.13793103448275867,follow_selectivity,pooled_item_cluster,-0.040000000000000036,0.24,0.28
