ci95_high,ci95_low,comparison,control_condition,delta,metric,true_condition
0.023333333333333317,-0.006666666666666599,text_ce,none,0.008333333333333304,accuracy,true_text
0.9655172413793104,0.7272727272727273,text_ce,none,0.8529411764705882,cr,true_text
-0.48,-0.8064516129032258,text_ce,none,-0.6470588235294117,pr,true_text
0.0,-0.04918032786885246,text_ce,none,-0.021739130434782608,sr,true_text
0.008064516129032251,0.0,text_ce,none,0.0025380710659898,scr,true_text
0.21739130434782605,-0.013888888888888895,text_ce,none,0.1029411764705882,si,true_text
0.21739130434782605,-0.013888888888888895,text_ce,none,0.1029411764705882,sra,true_text
0.036708333333332795,0.00666666666666671,text_esv,other_text,0.021666666666666612,accuracy,true_text
0.9444444444444444,0.6888541666666667,text_esv,other_text,0.8235294117647058,cr,true_text
-0.48,-0.8064516129032258,text_esv,other_text,-0.6470588235294117,pr,true_text
0.0,0.0,text_esv,other_text,0.0,sr,true_text
0.03157894736842104,0.00540540540540535,text_esv,other_text,0.017766497461928932,scr,true_text
0.19736842105263153,-0.02083333333333337,text_esv,other_text,0.08823529411764708,si,true_text
0.19736842105263153,-0.02083333333333337,text_esv,other_text,0.08823529411764708,sra,true_text
0.023333333333333428,-0.0033333333333332993,text_oav,self_text,0.010000000000000009,accuracy,true_text
0.9655172413793104,0.7272727272727273,text_oav,self_text,0.8529411764705882,cr,true_text
-0.48,-0.8064516129032258,text_oav,self_text,-0.6470588235294117,pr,true_text
0.0,-0.024193548387096774,text_oav,self_text,-0.007246376811594203,sr,true_text
0.0,0.0,text_oav,self_text,0.0,scr,true_text
0.21739130434782605,-0.013888888888888895,text_oav,self_text,0.1029411764705882,si,true_text
0.21739130434782605,-0.013888888888888895,text_oav,self_text,0.1029411764705882,sra,true_text
-0.0016666666666667052,-0.02504166666666665,statebridge_ce,none,-0.013333333333333308,accuracy,true_statebridge
0.9230769230769231,0.6486486486486487,statebridge_ce,none,0.7941176470588235,cr,true_statebridge
-0.8048780487804879,-1.0,statebridge_ce,none,-0.9117647058823529,pr,true_statebridge
0.0,-0.04918032786885246,statebridge_ce,none,-0.021739130434782608,sr,true_statebridge
0.005348312345466056,-0.011682242990654235,statebridge_ce,none,-0.002538071065989911,scr,true_statebridge
0.019230769230769162,-0.140625,statebridge_ce,none,-0.05882352941176472,si,true_statebridge
0.019230769230769273,-0.140625,statebridge_ce,none,-0.05882352941176472,sra,true_statebridge
0.0,-0.030000000000000027,statebridge_esv,other_statebridge,-0.015000000000000013,accuracy,true_statebridge
0.9,0.6129032258064515,statebridge_esv,other_statebridge,0.7647058823529411,cr,true_statebridge
-0.725,-0.9655172413793104,statebridge_esv,other_statebridge,-0.8529411764705882,pr,true_statebridge
-0.006756756756756757,-0.07857142857142857,statebridge_esv,other_statebridge,-0.036231884057971016,sr,true_statebridge
0.005291005291005235,-0.011173184357541888,statebridge_esv,other_statebridge,-0.002538071065989911,scr,true_statebridge
0.050000000000000044,-0.140625,statebridge_esv,other_statebridge,-0.04411764705882354,si,true_statebridge
0.050000000000000044,-0.140625,statebridge_esv,other_statebridge,-0.04411764705882354,sra,true_statebridge
0.0,-0.020000000000000018,statebridge_oav,self_statebridge,-0.010000000000000009,accuracy,true_statebridge
0.9230769230769231,0.6486486486486487,statebridge_oav,self_statebridge,0.7941176470588235,cr,true_statebridge
-0.8048780487804879,-1.0,statebridge_oav,self_statebridge,-0.9117647058823529,pr,true_statebridge
0.0,0.0,statebridge_oav,self_statebridge,0.0,sr,true_statebridge
0.0,-0.01302083333333337,statebridge_oav,self_statebridge,-0.005076142131979711,scr,true_statebridge
0.019230769230769162,-0.140625,statebridge_oav,self_statebridge,-0.05882352941176472,si,true_statebridge
0.019230769230769273,-0.140625,statebridge_oav,self_statebridge,-0.05882352941176472,sra,true_statebridge
