dataset,benchmark_label,status,source_items,items_evaluated,items_all_correct_skipped,items_retained,cr_denominator,pr_denominator,sr_denominator,scr_denominator_retained,scr_denominator_all_items,records_per_condition_retained,all_correct_sample_per_condition,k3,k2,k1,k0
MedQA,medqa300,VERIFIED,300,300,180,120,116,116,436,52,1132,720,34,180,26,32,62
ARC-C,arc_challenge,VERIFIED,1165,1165,1067,98,98,98,328,64,6466,588,208,1067,32,17,49
GSM8K,gsm8k_test,VERIFIED,1319,1319,1225,94,92,92,334,46,7396,564,235,1225,23,23,48
GPQA-D,gpqa_diamond,VERIFIED,198,198,80,118,114,114,432,48,528,708,124,80,24,33,61
HumanEval+,humanevalplus_test,VERIFIED,164,164,136,28,28,28,92,20,836,168,24,136,10,4,14
