dataset,condition,direction,records,cr_num,cr_den,pr_num,pr_den,sr_num,sr_den,scr_num,scr_den
GPQA-D,true_latentmas,B_to_A,56,7,7,5,9,8,37,3,3
HumanEval+,none,A_to_B,28,3,5,3,3,2,15,5,5
HumanEval+,none,A_to_C,28,4,7,3,3,1,15,3,3
HumanEval+,none,B_to_A,28,1,3,5,5,1,15,5,5
HumanEval+,none,B_to_C,28,3,6,3,4,3,16,2,2
HumanEval+,none,C_to_A,28,2,3,6,7,2,15,3,3
HumanEval+,none,C_to_B,28,3,4,6,6,0,16,2,2
HumanEval+,true_text,A_to_B,28,3,5,3,3,1,15,5,5
HumanEval+,true_text,A_to_C,28,6,7,3,3,1,15,3,3
HumanEval+,true_text,B_to_A,28,2,3,5,5,1,15,5,5
HumanEval+,true_text,B_to_C,28,4,6,4,4,3,16,2,2
HumanEval+,true_text,C_to_A,28,2,3,6,7,1,15,3,3
HumanEval+,true_text,C_to_B,28,4,4,5,6,2,16,2,2
HumanEval+,true_statebridge,A_to_B,28,3,5,3,3,0,15,5,5
HumanEval+,true_statebridge,A_to_C,28,4,7,2,3,2,15,2,3
HumanEval+,true_statebridge,B_to_A,28,2,3,5,5,1,15,5,5
HumanEval+,true_statebridge,B_to_C,28,4,6,4,4,3,16,2,2
HumanEval+,true_statebridge,C_to_A,28,3,3,7,7,0,15,3,3
HumanEval+,true_statebridge,C_to_B,28,3,4,6,6,2,16,2,2
HumanEval+,true_latentmas,A_to_B,28,4,5,2,3,1,15,5,5
HumanEval+,true_latentmas,A_to_C,28,7,7,1,3,0,15,3,3
HumanEval+,true_latentmas,B_to_A,28,2,3,3,5,0,15,5,5
HumanEval+,true_latentmas,B_to_C,28,5,6,4,4,1,16,2,2
HumanEval+,true_latentmas,C_to_A,28,3,3,4,7,2,15,3,3
HumanEval+,true_latentmas,C_to_B,28,3,4,3,6,2,16,2,2
