dataset,channel,replication_id,n,cr_pct,pr_pct,si_pct,si_minus_50,sr_pct,scr_pct,acc_ret_pct,reporting_status
MedQA,StateBridge,seed_pair_00,720,57.76,75.00,66.38,+16.38,0.46,100.00,28.89,WITHDRAWN 2026-09-23 - not cited anywhere
MedQA,StateBridge,seed_pair_01,720,54.31,71.55,62.93,+12.93,0.46,100.00,27.78,ADOPTED - the source for every reported MedQA StateBridge number
MedQA,No Message,seed_pair_00,720,6.90,98.28,52.59,+2.59,2.52,100.00,25.69,in use
MedQA,No Message,seed_pair_01,183,13.64,95.45,54.55,+4.55,3.76,100.00,19.13,INCOMPLETE 183/720 - not cited
