ci95_high,ci95_low,comparison,delta,left,metric,right
0.02416666666666667,0.004166666666666763,text_minus_statebridge,0.014166666666666772,true_text,accuracy,true_statebridge
0.10447761194029848,-0.09999999999999998,text_minus_statebridge,0.0,true_text,cr,true_statebridge
0.385720551378446,0.12676056338028166,text_minus_statebridge,0.2537313432835821,true_text,pr,true_statebridge
0.2164241293532338,0.04225352112676051,text_minus_statebridge,0.12686567164179097,true_text,si,true_statebridge
0.2164241293532338,0.04225352112676062,text_minus_statebridge,0.12686567164179108,true_text,sra,true_statebridge
0.10606060606060597,-0.09999999999999998,text_minus_statebridge,0.0,true_text,fcs,true_statebridge
-0.1272727272727272,-0.39344262295081966,text_minus_statebridge,-0.25757575757575757,true_text,fws,true_statebridge
0.4400169491525422,0.08474576271186451,text_minus_statebridge,0.25757575757575757,true_text,follow_selectivity,true_statebridge
0.02750000000000008,0.006666666666666599,text_minus_latentmas,0.01666666666666672,true_text,accuracy,true_latentmas
0.6833333333333333,0.45238095238095244,text_minus_latentmas,0.5671641791044776,true_text,cr,true_latentmas
-0.12903225806451618,-0.4285714285714286,text_minus_latentmas,-0.28358208955223885,true_text,pr,true_latentmas
0.2381043956043955,0.053030303030303094,text_minus_latentmas,0.1417910447761193,true_text,si,true_latentmas
0.2381043956043955,0.053030303030303094,text_minus_latentmas,0.14179104477611948,true_text,sra,true_latentmas
0.6923076923076923,0.45833333333333337,text_minus_latentmas,0.5757575757575757,true_text,fcs,true_latentmas
0.43480014025245417,0.1311475409836066,text_minus_latentmas,0.2878787878787879,true_text,fws,true_latentmas
0.48387096774193544,0.10769230769230764,text_minus_latentmas,0.28787878787878785,true_text,follow_selectivity,true_latentmas
0.011666666666666603,-0.006666666666666599,statebridge_minus_latentmas,0.0024999999999999467,true_statebridge,accuracy,true_latentmas
0.6785714285714286,0.4545454545454546,statebridge_minus_latentmas,0.5671641791044776,true_statebridge,cr,true_latentmas
-0.3974358974358974,-0.6666666666666666,statebridge_minus_latentmas,-0.5373134328358209,true_statebridge,pr,true_latentmas
0.09322033898305082,-0.06338028169014087,statebridge_minus_latentmas,0.014925373134328346,true_statebridge,si,true_latentmas
0.09322033898305082,-0.06338028169014087,statebridge_minus_latentmas,0.014925373134328401,true_statebridge,sra,true_latentmas
0.6885245901639344,0.46247596153846154,statebridge_minus_latentmas,0.5757575757575757,true_statebridge,fcs,true_latentmas
0.6779661016949152,0.40350877192982454,statebridge_minus_latentmas,0.5454545454545454,true_statebridge,fws,true_latentmas
0.18840579710144928,-0.1282051282051282,statebridge_minus_latentmas,0.030303030303030276,true_statebridge,follow_selectivity,true_latentmas
