accuracy,answer_change_rate,condition,cr,fcs,follow_selectivity,fws,invalid_outputs,pr,scr,seed_pair,si,sr,sra
0.725,0.013333333333333334,none,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,1,0.9714285714285714,1.0,seed_pair_00,0.5142857142857142,0.007575757575757576,0.5142857142857142
0.7433333333333333,0.12333333333333334,true_text,0.9142857142857143,0.9142857142857143,0.34285714285714286,0.5714285714285714,0,0.42857142857142855,1.0,seed_pair_00,0.6714285714285714,0.007575757575757576,0.6714285714285714
0.7216666666666667,0.005,self_text,0.0,0.0,-0.02857142857142857,0.02857142857142857,0,0.9714285714285714,1.0,seed_pair_00,0.4857142857142857,0.007575757575757576,0.4857142857142857
0.7166666666666667,0.021666666666666667,other_text,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0,0.9428571428571428,0.992462311557789,seed_pair_00,0.4857142857142857,0.007575757575757576,0.4857142857142857
0.7166666666666667,0.14,true_statebridge,0.8285714285714286,0.8285714285714286,-0.11428571428571421,0.9428571428571428,0,0.05714285714285714,1.0,seed_pair_00,0.4428571428571429,0.007575757575757576,0.44285714285714284
0.725,0.006666666666666667,self_statebridge,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0,1.0,1.0,seed_pair_00,0.5142857142857142,0.007575757575757576,0.5142857142857142
0.7233333333333334,0.013333333333333334,other_statebridge,0.0,0.0,0.0,0.0,0,0.9714285714285714,0.9974874371859297,seed_pair_00,0.4857142857142857,0.022727272727272728,0.4857142857142857
0.7183333333333334,0.051666666666666666,true_latentmas,0.3142857142857143,0.3142857142857143,-0.05714285714285716,0.37142857142857144,1,0.6285714285714286,1.0,seed_pair_00,0.4714285714285714,0.0,0.4714285714285714
0.725,0.008333333333333333,self_latentmas,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,2,1.0,1.0,seed_pair_00,0.5142857142857142,0.007575757575757576,0.5142857142857142
0.7216666666666667,0.006666666666666667,other_latentmas,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,4,1.0,0.9974874371859297,seed_pair_00,0.5142857142857142,0.0,0.5142857142857142
0.7033333333333334,0.013333333333333334,none,0.03125,0.03225806451612903,-0.03225806451612903,0.06451612903225806,2,0.9375,0.9974358974358974,seed_pair_01,0.484375,0.0136986301369863,0.484375
0.7133333333333334,0.11333333333333333,true_text,0.84375,0.8387096774193549,0.16129032258064524,0.6774193548387096,0,0.34375,1.0,seed_pair_01,0.59375,0.0,0.59375
0.705,0.0016666666666666668,self_text,0.03125,0.0,0.0,0.0,1,1.0,1.0,seed_pair_01,0.515625,0.0,0.515625
0.6966666666666667,0.016666666666666666,other_text,0.0,0.0,0.0,0.0,1,1.0,0.9846153846153847,seed_pair_01,0.5,0.0136986301369863,0.5
0.7116666666666667,0.13166666666666665,true_statebridge,0.9375,0.9354838709677419,0.12903225806451613,0.8064516129032258,0,0.21875,1.0,seed_pair_01,0.578125,0.0,0.578125
0.705,0.0033333333333333335,self_statebridge,0.03125,0.0,0.0,0.0,0,1.0,1.0,seed_pair_01,0.515625,0.0,0.515625
0.7,0.025,other_statebridge,0.0625,0.03225806451612903,-0.06451612903225806,0.0967741935483871,1,0.90625,0.9871794871794872,seed_pair_01,0.484375,0.0273972602739726,0.484375
0.705,0.05333333333333334,true_latentmas,0.3125,0.2903225806451613,0.0,0.2903225806451613,1,0.71875,0.9974358974358974,seed_pair_01,0.515625,0.00684931506849315,0.515625
0.7,0.005,self_latentmas,0.0,0.0,0.0,0.0,2,0.96875,0.9974358974358974,seed_pair_01,0.484375,0.0,0.484375
0.705,0.006666666666666667,other_latentmas,0.03125,0.0,-0.03225806451612903,0.03225806451612903,1,0.96875,1.0,seed_pair_01,0.5,0.00684931506849315,0.5
